initial_rank	priority_band	legacy_id	identity_branch	key	title	family	target_relevance	impact	screen_effort	qualification_burden	local_screen_state	definition_status	primary_metric	default_next_action	minimum_probe	negative_control	reopen_condition
62	2	R26	proposal	R026.replace-polling-chains-with-bounded-credits-and-deadlines	Replace polling chains with bounded credits and deadlines	lifecycle	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
63	2	R27	proposal	R027.share-immutable-compiled-code-not-live-playback-state	Share immutable compiled code, not live playback state	lifecycle	core-playback	4	E1	Q2	USER_REPORTED_FIRST_PASS_COMPLETE	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Read the supplied local follow-up and verify the named raw record once if accessible. Carry forward its scoped disposition; do not rerun this profile just to populate this ledger. Later cache/asset/memory/cancellation confirmation; do not automatically start a large confirmation campaign during breadth-first screening.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	Later cache/asset/memory/cancellation confirmation; do not automatically start a large confirmation campaign during breadth-first screening.
64	2	R40	proposal	R040.coalesce-scrub-requests-and-commit-the-final-exact-seek	Coalesce scrub requests and commit the final exact seek	lifecycle	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
65	2	R47	proposal	R047.assemble-output-as-headers-plus-original-payload-views	Assemble output as headers plus original payload views	mux	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
66	2	R48	proposal	R048.keep-only-the-relevant-native-caption-cues-instantiated	Keep only the relevant native caption cues instantiated	subtitles	core-playback	4	E1	Q2	USER_REPORTED_FIRST_PASS_COMPLETE	SOURCE_BODY_AVAILABLE	Required caption capability or total render/extraction cost and retained cue/atlas memory.	Read the supplied local follow-up and verify the named raw record once if accessible. Carry forward its scoped disposition; do not rerun this profile just to populate this ledger. Real large-cue overhead plus a bounded API-compatible design; do not re-open the explained boundary mismatch as a bug.	One authored cue/scene plus an overlapping or stateful boundary, using identical fonts, sizes and output semantics; reuse a maintained test.	Seek into an active cue, change fonts/layout/source, or omit a required style/control. No silent simplification or stale overlay.	Real large-cue overhead plus a bounded API-compatible design; do not re-open the explained boundary mismatch as a bug.
67	2	R49	proposal	R049.size-lookahead-in-wall-clock-time-not-fixed-media-seconds	Size lookahead in wall-clock time, not fixed media seconds	lifecycle	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
68	2	R66	proposal	R066.communicate-the-requested-start-position-before-first-data-preparation	Communicate the requested start position before first-data preparation	source	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Total bytes and time to correct startup/target, including cold index/identity acquisition; bounded retained bytes.	Locate one real repeated read/index/validation boundary and its trusted source identity. Separate logical requests from transferred or physical-disk bytes.	Replay a short owned range/seek trace on a tiny indexed fixture, including its first cold operation, with the same source and authorization. Reuse the existing reader.	Change the source/version or corrupt an offset/proof and cancel one consumer. No stale or unverified bytes may be published.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
69	2	R69	proposal	R069.separate-decoder-compatibility-from-per-source-initialization-identity	Separate decoder compatibility from per-source initialization identity	lifecycle	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
70	2	R74	report-defined	R074.skip-redundant-packed-pcm-staging	Skip redundant packed-PCM staging	audio	core-playback	4	E1	Q2	USER_REPORTED_FIRST_PASS_COMPLETE	SOURCE_BODY_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Read the supplied local follow-up and verify the named raw record once if accessible. Carry forward its scoped disposition; do not rerun this profile just to populate this ledger. Reopen for a different demonstrated workload, memory outcome or materially changed implementation; do not repeat the same seven-pair CPU screen.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	Reopen for a different demonstrated workload, memory outcome or materially changed implementation; do not repeat the same seven-pair CPU screen.
71	2	R100	proposal	R100.transfer-owned-packet-storage-into-webcodecs-chunks	Transfer owned packet storage into WebCodecs chunks	mux	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
72	2	R118	report-frontier	R118.mse-append-window-clipping-report-paragraph-label.report-frontier	MSE append-window clipping [report paragraph label]	lifecycle	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
73	2	R119	proposal	R119.canonicalize-equivalent-decoder-configurations	Canonicalize equivalent decoder configurations	mux	core-playback	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
74	2	R119	report-frontier	R119.mse-future-range-replacement-report-paragraph-label.report-frontier	MSE future-range replacement [report paragraph label]	lifecycle	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
75	2	R122	report-frontier	R122.retime-existing-frames-without-creating-new-pictures.report-frontier	Retime existing frames without creating new pictures	mux	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
76	2	R124	proposal	R124.copy-a-frame-once-to-free-the-decoder	Copy a frame once to free the decoder	lifecycle	core-playback	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
77	2	R124	report-frontier	R124.webm-negative-discardpadding-head-crop-composition-report-paragraph-label.report-frontier	WebM negative DiscardPadding head-crop composition [report paragraph label]	mux	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
78	2	R125	proposal	R125.buffer-according-to-predicted-decode-work	Buffer according to predicted decode work	lifecycle	core-playback	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
79	2	R125	report-frontier	R125.webm-defaultduration-parser-holdback-report-paragraph-label.report-frontier	WebM DefaultDuration parser holdback [report paragraph label]	mux	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
80	2	R126	proposal	R126.find-where-hardware-decoding-loses-on-short-jobs	Find where hardware decoding loses on short jobs	lifecycle	core-playback	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
81	2	R126	report-frontier	R126.same-codec-bytestream-change-in-one-sourcebuffer-report-paragraph-label.report-frontier	Same-codec bytestream change in one SourceBuffer [report paragraph label]	lifecycle	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
82	2	R131	report-frontier	R131.global-mp4-sidx-materially-changes-remote-access.report-frontier	global MP4 sidx materially changes remote access	mux	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
83	2	R135	report-continuity	R135.microfragment-size-versus-startup-bytes.report-continuity	microfragment size versus startup bytes	mux	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
84	2	R140	report-continuity	R140.cue-less-webm-native-seek.report-continuity	cue-less WebM native seek	source	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Total bytes and time to correct startup/target, including cold index/identity acquisition; bounded retained bytes.	Locate one real repeated read/index/validation boundary and its trusted source identity. Separate logical requests from transferred or physical-disk bytes.	Replay a short owned range/seek trace on a tiny indexed fixture, including its first cold operation, with the same source and authorization. Reuse the existing reader.	Change the source/version or corrupt an offset/proof and cancel one consumer. No stale or unverified bytes may be published.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
85	2	R144	proposal	R144.compile-simple-ass-animations-into-reusable-timeline-programs	Compile simple ASS animations into reusable timeline programs	subtitles	core-playback	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Required caption capability or total render/extraction cost and retained cue/atlas memory.	Identify the exact subtitle representation, maintained renderer and existing cache behavior. Distinguish an oracle discrepancy from a player defect.	One authored cue/scene plus an overlapping or stateful boundary, using identical fonts, sizes and output semantics; reuse a maintained test.	Seek into an active cue, change fonts/layout/source, or omit a required style/control. No silent simplification or stale overlay.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
86	2	R144	report-continuity	R144.evict-through-a-paused-current-position.report-continuity	evict through a paused current position	lifecycle	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
87	2	R162	proposal	R162.compile-a-qualified-mux-configuration-into-a-small-patch-program	Compile a qualified mux configuration into a small patch program	mux	core-playback	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
88	2	R169	proposal	R169.make-custom-presentation-aware-of-display-cadence	Make custom presentation aware of display cadence	lifecycle	core-playback	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
89	2	R170	proposal	R170.separate-audio-clock-drift-from-an-audio-latency-jump	Separate audio-clock drift from an audio-latency jump	lifecycle	core-playback	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
90	2	R188	report-defined	R188.schedule-verified-playable-data	schedule verified playable data	source	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Total bytes and time to correct startup/target, including cold index/identity acquisition; bounded retained bytes.	Locate one real repeated read/index/validation boundary and its trusted source identity. Separate logical requests from transferred or physical-disk bytes.	Replay a short owned range/seek trace on a tiny indexed fixture, including its first cold operation, with the same source and authorization. Reuse the existing reader.	Change the source/version or corrupt an offset/proof and cancel one consumer. No stale or unverified bytes may be published.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
91	2	R189	report-defined	R189.sparse-track-future-time-bounds	sparse-track future-time bounds	mux	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
92	2	R200	report-defined	R200.content-addressed-reuse-across-different-files	content-addressed reuse across different files	lifecycle	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
93	2	R213	report-defined	R213.compare-whole-frames-on-the-graphics-side-and-read-back-only-the-witness	Compare whole frames on the graphics side and read back only the witness	lifecycle	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
94	2	R215	report-defined	R215.upload-operation-selected-by-existing-layout	upload operation selected by existing layout	gpu	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete decode/process/present cost, transfers, command work or peak live storage for identical requested output.	Identify the CPU/GPU representation boundary and actual useful work removed. Check existing renderer fusions, caches, kernel fast paths and hardware gates.	Small deterministic planes/blocks or an existing real frame with one adversarial edge. Use a bounded component test if GPU integration is not already available, labeling it as such.	Change stride, crop, phase, alpha, edge neighborhood or resource generation; exercise a case where the proposed shortcut is ineligible.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
95	2	R216	report-defined	R216.one-request-for-distant-byte-ranges	one request for distant byte ranges	source	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Total bytes and time to correct startup/target, including cold index/identity acquisition; bounded retained bytes.	Locate one real repeated read/index/validation boundary and its trusted source identity. Separate logical requests from transferred or physical-disk bytes.	Replay a short owned range/seek trace on a tiny indexed fixture, including its first cold operation, with the same source and authorization. Reuse the existing reader.	Change the source/version or corrupt an offset/proof and cancel one consumer. No stale or unverified bytes may be published.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
96	2	R220	report-defined	R220.scoped-transport-clock-normalization	scoped transport-clock normalization	mux	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
97	2	R221	report-defined	R221.gpu-intermediate-lifetime-planning	GPU intermediate lifetime planning	gpu	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete decode/process/present cost, transfers, command work or peak live storage for identical requested output.	Identify the CPU/GPU representation boundary and actual useful work removed. Check existing renderer fusions, caches, kernel fast paths and hardware gates.	Small deterministic planes/blocks or an existing real frame with one adversarial edge. Use a bounded component test if GPU integration is not already available, labeling it as such.	Change stride, crop, phase, alpha, edge neighborhood or resource generation; exercise a case where the proposed shortcut is ineligible.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
98	2	R222	report-defined	R222.independently-checkable-remux-construction-record	independently checkable remux construction record	mux	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
99	2	R229	report-continuity	R229.mpeg-ts-track-elimination-with-payload-preservation.report-continuity	MPEG-TS track elimination with payload preservation	mux	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
100	2	R230	report-continuity	R230.exact-mp3-seek-closure.report-continuity	exact MP3 seek closure	source	core-playback	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Total bytes and time to correct startup/target, including cold index/identity acquisition; bounded retained bytes.	Locate one real repeated read/index/validation boundary and its trusted source identity. Separate logical requests from transferred or physical-disk bytes.	Replay a short owned range/seek trace on a tiny indexed fixture, including its first cold operation, with the same source and authorization. Reuse the existing reader.	Change the source/version or corrupt an offset/proof and cancel one consumer. No stale or unverified bytes may be published.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
101	2	R233	proposal	R233.make-independently-resampled-audio-chunks-join-exactly	Make independently resampled audio chunks join exactly	audio	core-playback	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
102	2	R237	proposal	R237.propagate-the-visible-region-backward-through-the-effects-pipeline	Propagate the visible region backward through the effects pipeline	gpu	core-playback	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Complete decode/process/present cost, transfers, command work or peak live storage for identical requested output.	Identify the CPU/GPU representation boundary and actual useful work removed. Check existing renderer fusions, caches, kernel fast paths and hardware gates.	Small deterministic planes/blocks or an existing real frame with one adversarial edge. Use a bounded component test if GPU integration is not already available, labeling it as such.	Change stride, crop, phase, alpha, edge neighborhood or resource generation; exercise a case where the proposed shortcut is ineligible.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
103	2	R238	proposal	R238.let-channel-reduction-cross-the-resampler-boundary	Let channel reduction cross the resampler boundary	audio	core-playback	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
104	2	R239	proposal	R239.wait-for-the-required-pictures-without-draining-the-decoder	Wait for the required pictures without draining the decoder	lifecycle	core-playback	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
